,Open,Volume,Up or Down
0,49.676899,44994500,
1,50.178635,23005800,1.0
2,55.017166,18393200,1.0
3,55.26058199999999,15361800,1.0
4,52.140873,9257400,0.0
5,52.135906,7148200,0.0
6,53.700729,6258300,1.0
7,52.299839,5235700,0.0
8,50.819469,4954800,0.0
9,51.018177,9206800,1.0
10,49.274516999999996,15232100,0.0
11,50.14883,5191000,1.0
12,50.178635,5891300,1.0
13,50.044509999999995,5023000,0.0
14,50.933723,4092100,1.0
15,50.471728999999996,8764200,0.0
16,52.970478,7902900,1.0
17,53.37783100000001,10910200,1.0
18,54.922779000000006,10793500,1.0
19,55.807030000000005,9335800,1.0
20,56.840309,9543500,1.0
21,58.097134,10708500,1.0
22,59.517894999999996,7282900,1.0
23,58.320679000000005,7638000,0.0
24,59.036026,8599600,1.0
25,60.079243000000005,9191900,1.0
26,59.3937,7119100,0.0
27,60.25808000000001,17056100,1.0
28,62.940631999999994,30745600,1.0
29,64.53029599999999,13861300,1.0
30,64.977386,15238400,1.0
31,67.188004,13120500,1.0
32,66.894913,15085500,0.0
33,68.330574,13481800,1.0
34,68.017609,14221000,0.0
35,68.91179699999999,11152500,1.0
36,68.05735,10550700,0.0
37,66.785622,11753000,0.0
38,71.19693000000001,19914500,1.0
39,70.04939300000001,10520500,0.0
40,71.996727,13293800,1.0
41,71.137321,14141700,0.0
42,74.763733,18245900,1.0
43,73.536713,22893300,0.0
44,71.73344399999999,29368600,0.0
45,84.718987,74263500,1.0
46,87.630051,65954500,1.0
47,92.567932,44904300,1.0
48,90.76963,26886700,0.0
49,92.736839,29886600,1.0
50,98.80238299999999,42600200,1.0
51,96.14964300000001,24608700,0.0
52,98.747742,22840000,1.0
53,98.44967700000001,27957900,0.0
54,93.611153,29006600,0.0
55,90.402023,39924100,0.0
56,84.912727,22529100,0.0
57,86.48748,22272300,1.0
58,84.783562,21426400,0.0
59,84.018539,30165800,0.0
60,92.016518,33709900,1.0
61,89.641968,23957800,0.0
62,88.176498,42106800,0.0
63,83.963898,36501500,0.0
64,84.59479499999999,33475500,1.0
65,84.003639,17652600,0.0
66,81.703598,24897200,0.0
67,83.442291,24988000,1.0
68,86.84515400000001,30760600,1.0
69,87.33199300000001,13044400,1.0
70,89.59725999999999,21471900,1.0
71,89.771126,15500000,1.0
72,90.38711500000001,15830400,1.0
73,89.36874399999999,12603200,0.0
74,89.393578,11814600,1.0
75,88.98622900000001,12589300,0.0
76,87.431343,13831100,0.0
77,84.624596,15181600,0.0
78,84.574921,15407500,0.0
79,86.154648,8690500,1.0
80,85.528717,9699800,0.0
81,84.947502,22320900,0.0
82,88.419914,23091100,1.0
83,87.903275,17257000,0.0
84,87.808891,14868300,0.0
85,90.411957,19796800,1.0
86,92.553032,11104300,1.0
87,91.35582,7864700,0.0
88,93.11934699999999,7276100,1.0
89,93.963852,12287500,1.0
90,95.434296,8345300,1.0
91,95.27035500000001,5391000,0.0
92,95.861511,11885300,1.0
93,98.97129100000001,15436700,1.0
94,98.062202,31894300,0.0
95,100.049278,27690700,1.0
96,96.09996,16580200,0.0
97,96.90969799999999,20909100,1.0
98,94.704041,19451500,0.0
99,96.621567,15177200,1.0
100,97.177948,14007900,1.0
101,96.53711700000001,16461900,0.0
102,97.058723,13787800,1.0
103,97.366722,19405800,1.0
104,99.835663,26516500,1.0
105,101.66377299999999,22661700,1.0
106,95.628029,18120200,0.0
107,96.641441,18637100,1.0
108,93.735344,28227700,0.0
109,90.382149,21456900,0.0
110,89.055779,24775800,0.0
111,93.770119,13340900,1.0
112,94.39604200000001,24575200,1.0
113,96.219185,19318100,1.0
114,96.56195799999999,37922900,1.0
115,107.07856000000001,66025100,1.0
116,102.32944499999999,26145000,0.0
117,102.567894,29831300,1.0
118,101.96680500000001,26089300,0.0
119,97.84362,23109200,0.0
120,99.731346,34566200,1.0
121,95.364746,38212200,0.0
122,92.72689799999999,26402500,0.0
123,90.834213,77625900,0.0
124,96.174477,51900900,1.0
125,96.720924,33279500,1.0
126,98.27580999999999,20964200,1.0
127,98.613617,17082100,1.0
128,97.615105,27142700,0.0
129,96.025444,31374600,0.0
130,91.092529,51964300,0.0
131,93.963852,20076700,1.0
132,92.399033,15738400,0.0
133,94.033401,18743400,1.0
134,92.374191,14665700,0.0
135,92.463615,15316100,1.0
136,92.746773,13636200,1.0
137,93.28327900000001,17447500,1.0
138,93.939018,16196700,1.0
139,91.509819,22868500,0.0
140,89.920158,22063500,0.0
141,89.637001,16160900,0.0
142,88.588814,22438000,0.0
143,87.083603,20979600,0.0
144,87.779083,14305000,1.0
145,87.99269100000001,16628600,1.0
146,88.827263,14272100,1.0
147,89.055779,15064600,1.0
148,90.00460799999999,11336500,1.0
149,88.409981,9752900,0.0
150,89.766159,7458500,1.0
151,90.25299100000001,17589600,1.0
152,89.940025,13030100,0.0
153,89.736351,12553200,0.0
154,88.40004,13625200,0.0
155,90.292732,12444300,1.0
156,89.393578,16257700,0.0
157,93.25844599999999,17587000,1.0
158,94.00856800000001,10573400,1.0
159,93.780052,19510300,0.0
160,96.219185,10299700,1.0
161,95.921127,10891300,0.0
162,95.876419,14734300,0.0
163,96.10990100000001,13196800,1.0
164,96.010544,12385400,0.0
165,94.435783,23305300,0.0
166,91.693619,13185800,0.0
167,94.053276,16969600,1.0
168,98.648384,31104000,1.0
169,99.562439,35734600,1.0
170,110.729813,66842100,1.0
171,108.206223,39937900,0.0
172,109.398468,34768600,1.0
173,108.290672,20663100,0.0
174,109.04079399999999,17478500,1.0
175,110.23800700000001,18459600,1.0
176,110.307556,19661700,1.0
177,110.208199,35791600,0.0
178,112.880821,24324100,1.0
179,113.571327,15116800,1.0
180,113.46203600000001,13615700,0.0
181,113.263329,11145500,0.0
182,112.00650800000001,12774000,0.0
183,113.745193,23106800,1.0
184,114.659248,18012600,1.0
185,113.84951799999999,14927400,0.0
186,114.0979,11436600,1.0
187,114.53505700000001,15719300,1.0
188,116.05020900000001,24784100,1.0
189,119.39346299999998,19559400,1.0
190,119.825653,16433100,1.0
191,120.79435,43054700,1.0
192,127.64976499999999,58463900,1.0
193,125.54843100000001,36350600,0.0
194,129.636841,27269300,1.0
195,129.388458,24526600,0.0
196,133.84446699999998,44762800,1.0
197,140.68498200000002,70841100,1.0
198,143.43211399999998,36181900,1.0
199,142.46838400000001,37808800,0.0
200,140.282593,45344800,0.0
201,147.590073,48962300,1.0
202,145.478806,51736100,0.0
203,141.44006299999998,33095900,0.0
204,142.567734,25558200,1.0
205,139.005905,25772900,0.0
206,138.394882,20314900,0.0
207,136.611481,42037700,0.0
208,136.243866,25086800,0.0
209,138.598557,21004400,1.0
210,137.152954,42322800,0.0
211,143.10424799999998,30461300,1.0
212,143.899078,21084100,1.0
213,143.069473,28295600,0.0
214,144.510101,35773400,1.0
215,148.484253,35837300,1.0
216,152.150406,38320500,1.0
217,150.272629,36835300,0.0
218,146.218979,30385000,0.0
219,146.56672700000001,18575200,1.0
220,145.106216,15085300,0.0
221,147.689423,16104600,1.0
222,143.75997900000002,21482900,0.0
223,147.167816,15012100,1.0
224,147.242325,16889600,1.0
225,145.74705500000002,11806000,0.0
226,145.309906,23024400,0.0
227,151.683441,21474100,1.0
228,149.646698,16986400,0.0
229,149.030701,12496300,0.0
230,150.073914,25406900,1.0
231,151.797699,28806900,1.0
232,156.0103,39836100,1.0
233,152.195114,47077700,0.0
234,150.217972,19443100,0.0
235,146.551819,19761400,0.0
236,147.908005,14529600,1.0
237,147.74406399999998,11928200,0.0
238,145.126099,16835300,0.0
239,143.129089,11398400,0.0
240,144.857834,14675100,1.0
241,148.037155,11938200,1.0
242,146.820084,10541000,0.0
243,147.788773,11956500,1.0
244,145.851379,9021800,0.0
245,145.036682,11633700,0.0
246,144.708801,13847400,0.0
247,142.021286,15127500,0.0
248,140.764465,13257300,0.0
249,143.963654,16455700,1.0
250,141.519547,14310800,0.0
251,141.83252,7817000,1.0
252,137.063538,23899900,0.0
253,139.587128,11157700,1.0
254,139.711319,13714600,1.0
255,137.187729,11719000,0.0
256,137.888168,17297900,1.0
257,140.362076,8810000,1.0
258,140.824081,7559400,1.0
259,140.208084,11882700,0.0
260,142.766449,9646200,1.0
261,143.183731,10133300,1.0
262,142.031219,5519700,0.0
263,142.329285,6913500,1.0
264,143.566238,8479300,1.0
265,142.021286,15096400,0.0
266,146.462402,13312500,1.0
267,147.679489,8838000,1.0
268,149.90004,20907900,1.0
269,153.50161699999998,20733700,1.0
270,153.367493,22698100,0.0
271,148.792252,31133500,0.0
272,151.02771,15258100,1.0
273,149.527466,11598700,0.0
274,152.085831,18823500,1.0
275,153.208527,20371000,1.0
276,154.743546,26181900,1.0
277,155.48869299999998,17077900,1.0
278,158.717697,19917300,1.0
279,156.457397,13835500,0.0
280,156.09475700000002,16098700,0.0
281,152.349121,11300500,0.0
282,156.09475700000002,18421600,1.0
283,155.80166599999998,18439700,0.0
284,158.941238,18407400,1.0
285,155.334702,16765000,0.0
286,156.05500800000002,16091500,1.0
287,156.37791399999998,13628600,1.0
288,155.6427,11216800,0.0
289,154.301422,17196200,0.0
290,151.613892,18733400,0.0
291,150.02423100000001,21272700,0.0
292,148.981018,17149000,0.0
293,147.788773,15231700,0.0
294,151.494675,14247600,1.0
295,151.017776,14112500,0.0
296,153.993423,28004300,1.0
297,171.782715,46082500,1.0
298,170.575577,18986000,0.0
299,171.772781,13846000,1.0
300,172.021164,17930800,1.0
301,177.147827,10335500,1.0
302,176.487122,11883700,0.0
303,178.95606999999998,28872300,1.0
304,184.72851599999998,32924900,1.0
305,189.61673000000002,21268100,1.0
306,189.969437,14993600,1.0
307,193.72998,17764500,1.0
308,196.273438,19307700,1.0
309,195.851181,15897600,0.0
310,192.08566299999998,21069900,0.0
311,187.95752,18376000,0.0
312,196.283371,14219600,1.0
313,194.79306,15717300,0.0
314,195.91575600000002,17361900,1.0
315,196.81987,17503300,1.0
316,199.601776,18544200,1.0
317,200.44133,14142500,1.0
318,198.295273,20804600,0.0
319,203.00465400000002,19316700,1.0
320,207.17254599999998,20301100,1.0
321,211.51429700000003,9743100,1.0
322,213.52125499999997,22160000,1.0
323,210.85856600000002,43271100,0.0
324,200.823837,31396000,0.0
325,203.27787800000002,19616400,1.0
326,207.122864,15185000,1.0
327,207.152664,20712500,1.0
328,203.029495,30447300,0.0
329,201.7677,23483500,0.0
330,201.34046899999998,17935800,0.0
331,206.159134,15386100,1.0
332,205.975327,13990600,0.0
333,204.917206,16433700,0.0
334,207.17254599999998,13346900,1.0
335,208.200851,12170100,1.0
336,211.29573100000002,32873300,1.0
337,214.70356800000002,44158800,1.0
338,212.547577,20300500,0.0
339,215.37419100000002,22589700,1.0
340,214.489944,15191200,0.0
341,214.67872599999998,9249800,1.0
342,214.534653,13492700,0.0
