,Prediction,Actual
0,50.38200911487636,50.427021
1,50.555300133219134,49.681866
2,50.68754917006024,50.461796
3,51.0934221269222,50.819469
4,51.32143792926914,50.824436
5,51.45825034827999,52.324677
6,53.81138668443251,53.402668000000006
7,53.96187731594167,55.384777
8,55.5169532948753,55.638126
9,56.17820582308754,56.616764
10,57.04466917680892,58.365391
11,58.51310148257285,59.294346
12,58.850565016926446,58.53925699999999
13,58.5313430772409,58.807514000000005
14,58.62710892474589,60.01963000000001
15,59.876641176492285,59.527828
16,58.98281405376755,58.747902
17,60.08185934600814,63.020115000000004
18,62.82718491851927,65.116478
19,64.09039905476733,64.381264
